Code,Name,Sector,Open,High,Low,Close,SMA20,SMA50,SMA200,Shariah,Price,ADR%,Perf 5D%,Perf 1M%,Perf 3M%,EPS,P/E,Volume,Mkt Cap
5315,SKYWLD,Real Estate,0.425,0.425,0.415,0.415,0.423,0.4107,0.4786,,0.415,4.51,-9.78,9.21,-8.79,0.03,13.833333,218400,424953472.0
0275,OPPSTAR,Technology,0.655,0.685,0.655,0.66,0.6158,0.3949,0.3998,,0.66,16.95,0.76,106.25,186.96,-0.03,33.000004,18156200,424685696.0
7108,PERDANA,Energy,0.19,0.195,0.185,0.19,0.1985,0.1807,0.1644,,0.19,5.57,-5.0,-7.32,15.15,0.03,6.3333335,1440400,423246016.0
3719,PANAMY,Consumer Cyclical,6.97,6.97,6.93,6.93,7.1985,7.1946,7.6595,,6.93,0.75,-4.41,-3.75,-2.12,0.56,12.375,77200,420968256.0
3557,ECOFIRS,Real Estate,0.35,0.355,0.35,0.355,0.355,0.3471,0.3468,,0.355,2.75,0.0,-1.39,7.58,0.03,11.833333,16000,418353888.0
0271,WELLS,Consumer Defensive,0.585,0.585,0.57,0.585,0.614,0.6378,0.6576,,0.585,1.46,-1.68,-11.36,-10.69,0.0,Infinity,1008200,416593120.0
0196,QES,Technology,0.48,0.495,0.48,0.49,0.4675,0.421,0.4084,,0.49,4.04,-2.97,13.95,31.48,0.02,24.500002,1588800,408053696.0
2097,MBRIGHT,Consumer Cyclical,0.145,0.15,0.145,0.15,0.1547,0.1443,0.1284,,0.15,5.22,3.45,-3.23,15.38,0.01,15.000001,307400,407843168.0
8397,TNLOGIS,Industrials,0.76,0.78,0.76,0.77,0.74,0.7496,0.7877,,0.77,1.2,3.36,5.48,-3.75,0.06,12.833333,69300,404985536.0
3107,FIMACOR,Industrials,1.7,1.7,1.69,1.7,1.703,1.691,1.6706,,1.7,0.65,0.0,0.0,1.8,0.09,18.88889,46100,402783264.0
2755,FCW,Consumer Defensive,1.61,1.61,1.61,1.61,1.61,1.61,1.7089,,1.61,0.0,0.0,0.0,-10.56,-0.0,,0,402490560.0
5006,VARIA,Industrials,0.92,0.92,0.92,0.92,0.9037,0.8822,0.7885,,0.92,0.5,0.0,2.22,15.72,0.1,9.2,0,397900000.0
5259,AVANGAAD,Industrials,0.295,0.3,0.295,0.3,0.3035,0.3038,0.3112,,0.3,2.18,0.0,-1.64,-1.64,0.03,10.000001,3705900,397875008.0
0172,OCK,Communication Services,0.375,0.39,0.37,0.38,0.411,0.3882,0.3976,,0.38,4.85,-1.3,-2.56,7.02,0.03,12.666667,2212600,391973888.0
0247,UNITRAD,Industrials,0.24,0.24,0.24,0.24,0.238,0.2408,0.2488,,0.24,3.45,0.0,4.35,-2.04,0.01,24.0,0,391372800.0
7245,CITAGLB,Industrials,0.8,0.82,0.79,0.79,0.8197,0.8365,0.85,,0.79,1.83,-3.07,-4.82,-12.22,0.03,26.333334,170100,390699136.0
6378,BEDI,Basic Materials,0.45,0.45,0.445,0.45,0.455,0.4504,0.3512,,0.45,3.5,3.45,-3.23,8.43,-0.0,,50600,390217056.0
7229,FAVCO,Industrials,1.62,1.67,1.61,1.65,1.6665,1.637,1.6123,,1.65,1.25,0.61,-0.6,3.12,0.18,9.166666,124400,389219776.0
5056,ENGTEX,Industrials,0.47,0.47,0.45,0.46,0.4765,0.4947,0.5421,,0.46,2.13,-1.08,-8.0,-9.63,0.03,15.333334,125000,387660544.0
6556,ANNJOO,Basic Materials,0.545,0.56,0.535,0.55,0.6445,0.6069,0.6148,,0.55,3.9,-15.38,-18.52,25.0,-0.36,10.784314,555100,385956928.0
03055,DSR,Consumer Defensive,1.18,1.18,1.18,1.18,1.18,1.18,1.18,,1.18,0.0,0.0,0.0,0.0,0.01,118.0,0,385242880.0
5171,KIMLUN,Industrials,1.01,1.01,0.97,0.985,1.0672,1.0321,1.2491,,0.985,3.15,-5.29,-9.63,-18.6,-3.95,4.061856,1297800,382868448.0
0286,EMCC,Financial Services,0.335,0.34,0.33,0.34,0.3313,0.3232,0.3469,,0.34,2.77,1.49,7.94,2.6,0.04,8.5,574200,381005728.0
7501,HARNLEN,Consumer Defensive,0.635,0.635,0.62,0.62,0.6745,0.687,0.6352,,0.62,2.94,-8.82,-11.43,-11.43,0.07,8.857142,40000,380528576.0
2828,CIHLDG,Consumer Defensive,2.34,2.34,2.34,2.34,2.5215,2.528,2.5828,,2.34,0.85,-2.5,-10.0,-8.24,0.2,11.7,0,379080000.0
7174,CAB,Consumer Defensive,0.54,0.55,0.535,0.54,0.5155,0.5182,0.627,,0.54,1.56,4.85,5.88,-3.41,0.13,4.1538463,425800,377606688.0
5108,"""icapital.biz Berhad""",Financial Services,2.62,2.64,2.6,2.64,2.5495,2.462,2.5471,,2.64,1.02,0.76,6.88,3.94,0.02,132.00002,84300,372336000.0
5131,ZHULIAN,Consumer Cyclical,0.795,0.805,0.795,0.805,0.7751,0.7577,0.9686,,0.805,3.04,0.62,10.22,-1.21,0.02,40.25,102900,370300000.0
4243,WTK,Industrials,0.76,0.79,0.76,0.79,0.7597,0.7563,0.6765,,0.79,2.44,1.28,11.27,0.0,0.14,5.642857,963200,369567584.0
5703,MUHIBAH,Industrials,0.51,0.515,0.505,0.505,0.5362,0.5214,0.5319,,0.505,2.83,-4.72,-6.48,-3.81,0.1,5.0499997,1475100,369093824.0
5196,BJFOOD,Consumer Cyclical,0.195,0.2,0.19,0.195,0.2042,0.1965,0.2415,,0.195,5.35,-2.5,-2.5,-13.33,-0.13,32.5,146300,368137216.0
0276,ADB,Technology,0.68,0.68,0.665,0.665,0.6688,0.6556,0.8239,,0.665,2.42,0.76,4.72,-2.21,0.04,16.625,126900,366082496.0
2038,NSOP,Consumer Defensive,5.17,5.25,5.17,5.2,5.466,5.6982,5.5121,,5.2,0.62,-2.8,-7.64,-7.14,0.68,7.6470585,29200,365050176.0
5275,MYNEWS,Consumer Cyclical,0.485,0.485,0.48,0.48,0.4797,0.4942,0.5677,,0.48,1.58,0.0,-4.95,-14.29,0.02,24.0,88900,360169920.0
2453,KLUANG,Consumer Defensive,5.83,5.83,5.82,5.82,5.846,5.851,5.5708,,5.82,0.33,-0.51,0.34,-0.85,0.6,9.7,2400,359317344.0
5073,NAIM,Industrials,0.72,0.72,0.71,0.71,0.7087,0.6921,0.7705,,0.71,1.57,1.43,0.71,2.16,0.06,11.833333,71100,355002432.0
4502,MEDIA,Communication Services,0.315,0.32,0.315,0.32,0.3323,0.3421,0.3408,,0.32,1.37,-1.54,-7.25,14.29,0.02,16.0,1700,354943744.0
